-- Testing: 258 tests, 192 workers --
PASS: compiler :: backsolver_continuation_conditional_multi_latch_cyclic_byte_lane_reject.ll (103 of 258)
PASS: compiler :: backsolver_multi_exit_return.ll (104 of 258)
PASS: compiler :: backsolver_multiarm_ifss_reject.ll (105 of 258)
PASS: compiler :: backsolver_continuation_guarded_byte_lane_reject.ll (106 of 258)
PASS: compiler :: test_smt_schedule_smbo.py (107 of 258)
PASS: compiler :: backsolver_loop_break_reject.ll (108 of 258)
PASS: compiler :: test_executor_portfolio.py (109 of 258)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_multi_latch_big_endian.ll (110 of 258)
PASS: compiler :: backsolver_memory_state_reject.ll (111 of 258)
PASS: compiler :: backsolver_continuation_multi_latch_cyclic_byte_lane_reject.ll (112 of 258)
PASS: compiler :: test_lark_sppf_parser.py (113 of 258)
PASS: compiler :: veritesting_memory_reject.ll (114 of 258)
PASS: compiler :: floats.c (115 of 258)
PASS: compiler :: poly_prefix_cache.c (116 of 258)
PASS: compiler :: backsolver_continuation_memory_reject.ll (117 of 258)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_reject.ll (118 of 258)
PASS: compiler :: test_hydra_transform.py (119 of 258)
PASS: compiler :: ucsan_unsupported_musttail.ll (120 of 258)
PASS: compiler :: backsolver_continuation_tuple.ll (121 of 258)
PASS: compiler :: hydra_transform.ll (122 of 258)
PASS: compiler :: test_cross_llvm_transform_replay.py (123 of 258)
PASS: compiler :: static_dependencies_wide_size.ll (124 of 258)
PASS: compiler :: concrete_structs.ll (125 of 258)
PASS: compiler :: hydra_internal_dag_reject.ll (126 of 258)
PASS: compiler :: schedule_atomic_trace.c (127 of 258)
PASS: compiler :: backsolver_continuation_pointer_union_priority_reject.ll (128 of 258)
PASS: compiler :: backsolver_switch_ifss_reject.ll (129 of 258)
PASS: compiler :: backsolver_loop_multibreak_reject.ll (130 of 258)
PASS: compiler :: backsolver_continuation_pointer_union_reject.ll (131 of 258)
PASS: compiler :: memory_input.c (132 of 258)
PASS: compiler :: backsolver_continuation_shared.ll (133 of 258)
PASS: compiler :: backsolver_continuation_tuple_reject.ll (134 of 258)
PASS: compiler :: data_coverage_dso.c (135 of 258)
PASS: compiler :: data_coverage_static.c (136 of 258)
PASS: compiler :: stable_site_ids.c (137 of 258)
PASS: compiler :: backsolver_continuation_cyclic_byte_lane_big_endian.ll (138 of 258)
PASS: compiler :: backsolver_continuation_ordered_writer_graph_reject.ll (139 of 258)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_cycle_big_endian.ll (140 of 258)
PASS: compiler :: bcopy_bcmp_bzero.c (141 of 258)
PASS: compiler :: backsolver_switch_branch_weight_reject.ll (142 of 258)
PASS: compiler :: backsolver_continuation_conditional_cyclic_byte_lane_big_endian.ll (143 of 258)
PASS: compiler :: test_live_multicell_alias_graph.py (144 of 258)
PASS: compiler :: backsolver_continuation_symbolic_calloc_region.ll (145 of 258)
PASS: compiler :: symbolic_structs.ll (146 of 258)
PASS: compiler :: backsolver_continuation_byte_lane_big_endian.ll (147 of 258)
PASS: compiler :: static_dependencies.c (148 of 258)
PASS: compiler :: data_coverage_libc.c (149 of 258)
PASS: compiler :: unsat_core_long_prefix.c (150 of 258)
PASS: compiler :: poly_exact_narrowing_renaming.c (151 of 258)
PASS: compiler :: load_store.ll (152 of 258)
PASS: compiler :: empirical_value_profile_feedback.c (153 of 258)
PASS: compiler :: directed_coloration_indirect.c (154 of 258)
PASS: compiler :: usub_sat.ll (155 of 258)
PASS: compiler :: ucsan_partial_shadow.c (156 of 258)
PASS: compiler :: uadd_sat.ll (157 of 258)
PASS: compiler :: pointer_width_casts.ll (158 of 258)
PASS: compiler :: telemetry.c (159 of 258)
PASS: compiler :: poly_projected_reuse.c (160 of 258)
PASS: compiler :: hydra_llvm_semantics.ll (161 of 258)
PASS: compiler :: backsolver_switch_ifss.ll (162 of 258)
PASS: compiler :: poly_field_renaming.c (163 of 258)
PASS: compiler :: backsolver_switch_balanced.ll (164 of 258)
PASS: compiler :: query_generator_tactic_converter.py (165 of 258)
PASS: compiler :: test_persistent_live_state_frontier.py (166 of 258)
PASS: compiler :: hydra_manifest_concurrent.ll (167 of 258)
PASS: compiler :: test_self_config.py (168 of 258)
PASS: compiler :: query_generator.py (169 of 258)
PASS: compiler :: query_prefix_reuse.py (170 of 258)
PASS: compiler :: backsolver_switch_shared.ll (171 of 258)
PASS: compiler :: test_qa3_repro.py (172 of 258)
PASS: compiler :: empirical_value_profile.c (173 of 258)
PASS: compiler :: test_online_value_profile.py (174 of 258)
PASS: compiler :: string_solver.py (175 of 258)
PASS: compiler :: string_backend_conformance.py (176 of 258)
PASS: compiler :: ucsan_explicit_unwind.cpp (177 of 258)
PASS: compiler :: test_tree_sitter_incremental_parser.py (178 of 258)
PASS: compiler :: backsolver_switch_profile.ll (179 of 258)
PASS: compiler :: test_cross_parser_oracle.py (180 of 258)
PASS: compiler :: test_afl_data_coverage.py (181 of 258)
PASS: compiler :: ucsan_explicit_cpp.cpp (182 of 258)
PASS: compiler :: ucsan_snapshot.c (183 of 258)
PASS: compiler :: poly_exact_widening_renaming.c (184 of 258)
PASS: compiler :: test_tace_profile.py (185 of 258)
PASS: compiler :: query_ir.c (186 of 258)
PASS: compiler :: string_operations.c (187 of 258)
PASS: compiler :: test_verified_proposals.py (188 of 258)
PASS: compiler :: query_generator_optimistic.py (189 of 258)
PASS: compiler :: query_solver_pscache.py (190 of 258)
PASS: compiler :: cross_llvm_transform_replay.ll (191 of 258)
PASS: compiler :: test_hybrid_feedback.py (192 of 258)
PASS: compiler :: test_afl_profile_orchestration.py (193 of 258)
PASS: compiler :: test_parser_equivalence_audit.py (194 of 258)
PASS: compiler :: test_parglare_sppf_parser.py (195 of 258)
PASS: compiler :: test_research_evidence.py (196 of 258)
PASS: compiler :: test_live_exception_semantics.py (197 of 258)
PASS: compiler :: test_live_scalar_catch_object.py (198 of 258)
PASS: compiler :: backsolver_loop_summary.ll (199 of 258)
PASS: compiler :: test_live_typed_exception_semantics.py (200 of 258)
PASS: compiler :: backsolver_loop_triangular.ll (201 of 258)
PASS: compiler :: live_exception_object_fields_source.cpp (202 of 258)
PASS: compiler :: query_solver_selective.py (203 of 258)
PASS: compiler :: ucsan_explicit_objects.c (204 of 258)
PASS: compiler :: test_condpor_interpreter.py (205 of 258)
PASS: compiler :: test_mpi_lifecycle.py (206 of 258)
PASS: compiler :: test_transform_artifact_bundle.py (207 of 258)
PASS: compiler :: test_persistent_live_continuation.py (208 of 258)
PASS: compiler :: test_live_external_models.py (209 of 258)
PASS: compiler :: test_python_test_gate.py (210 of 258)
PASS: compiler :: test_schedule_exploration.py (211 of 258)
PASS: compiler :: backsolver_loop_break.ll (212 of 258)
PASS: compiler :: test_current_evaluation_analysis.py (213 of 258)
PASS: compiler :: test_live_exception_lifecycle.py (214 of 258)
PASS: compiler :: live_continuation_ssa_copy.ll (215 of 258)
PASS: compiler :: ucsan_uninitialized.c (216 of 258)
PASS: compiler :: test_mpi_filesystem_qualification.py (217 of 258)
PASS: compiler :: backsolver_continuation_ordered_symbolic_region_cycle.ll (218 of 258)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_multi_latch.ll (219 of 258)
PASS: compiler :: test_live_exception_object_arena.py (220 of 258)
PASS: compiler :: test_qf_bv_backend.py (221 of 258)
PASS: compiler :: backsolver_continuation_ordered_writer_graph.ll (222 of 258)
PASS: compiler :: hydra_internal_tree_memory.ll (223 of 258)
PASS: compiler :: hydra_internal_dag_memory.ll (224 of 258)
PASS: compiler :: hydra_unequal_max.ll (225 of 258)
