ninja: Entering directory `build-llvm17'
[1/4] Performing build step for 'SymCCRuntime'
ninja: no work to do.
[2/4] No install step for 'SymCCRuntime'
[3/4] Completed 'SymCCRuntime'
[3/4] Testing the system...
-- Testing: 263 tests, 192 workers --
PASS: compiler :: backsolver_continuation_memory_reject.ll (100 of 263)
PASS: compiler :: backsolver_continuation_cyclic_byte_lane_reject.ll (101 of 263)
PASS: compiler :: backsolver_continuation_conditional_multi_latch_cyclic_byte_lane_reject.ll (102 of 263)
PASS: compiler :: static_dependencies_wide_size.ll (103 of 263)
PASS: compiler :: backsolver_loop_multibreak_reject.ll (104 of 263)
PASS: compiler :: test_verifier_loop.py (105 of 263)
PASS: compiler :: test_lava_dse_ablation_analysis.py (106 of 263)
PASS: compiler :: backsolver_multi_exit_return_reject.ll (107 of 263)
PASS: compiler :: backsolver_continuation_tuple_reject.ll (108 of 263)
PASS: compiler :: test_executor_portfolio.py (109 of 263)
PASS: compiler :: test_hydra_transform.py (110 of 263)
PASS: compiler :: backsolver_switch_ifss_reject.ll (111 of 263)
PASS: compiler :: backsolver_continuation_bounded_multi_latch_cyclic_byte_lane_reject.ll (112 of 263)
PASS: compiler :: data_coverage_static.c (113 of 263)
PASS: compiler :: backsolver_continuation_shared.ll (114 of 263)
PASS: compiler :: backsolver_continuation_pointer_union_reject.ll (115 of 263)
PASS: compiler :: backsolver_continuation_pointer_union_priority_reject.ll (116 of 263)
PASS: compiler :: hydra_internal_dag_reject.ll (117 of 263)
PASS: compiler :: test_semantic_fallback.py (118 of 263)
PASS: compiler :: backsolver_continuation_guarded_byte_lane_reject.ll (119 of 263)
PASS: compiler :: test_smt_algorithm_scheduler.py (120 of 263)
PASS: compiler :: test_path_cover.py (121 of 263)
PASS: compiler :: data_coverage_dso.c (122 of 263)
PASS: compiler :: backsolver_continuation_tuple.ll (123 of 263)
PASS: compiler :: ucsan_jit.c (124 of 263)
PASS: compiler :: test_ucsan_seed.py (125 of 263)
PASS: compiler :: backsolver_multi_exit_return.ll (126 of 263)
PASS: compiler :: poly_cache.c (127 of 263)
PASS: compiler :: poly_prefix_cache.c (128 of 263)
PASS: compiler :: poly_cross_prefix_cache.c (129 of 263)
PASS: compiler :: backsolver_continuation_cyclic_byte_lane_big_endian.ll (130 of 263)
PASS: compiler :: stable_site_ids.c (131 of 263)
PASS: compiler :: backsolver_continuation_byte_lane_big_endian.ll (132 of 263)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_cycle_big_endian.ll (133 of 263)
PASS: compiler :: test_string_constraints.py (134 of 263)
PASS: compiler :: backsolver_switch_branch_weight_reject.ll (135 of 263)
PASS: compiler :: backsolver_continuation_ordered_writer_graph_reject.ll (136 of 263)
PASS: compiler :: hydra_llvm_semantics.ll (137 of 263)
PASS: compiler :: poly_exact_narrowing_renaming.c (138 of 263)
PASS: compiler :: backsolver_continuation_conditional_cyclic_byte_lane_big_endian.ll (139 of 263)
PASS: compiler :: static_dependencies.c (140 of 263)
PASS: compiler :: empirical_value_profile_signed.c (141 of 263)
PASS: compiler :: test_cross_llvm_transform_replay.py (142 of 263)
PASS: compiler :: telemetry.c (143 of 263)
PASS: compiler :: backsolver_continuation_symbolic_calloc_region.ll (144 of 263)
PASS: compiler :: test_ablation_analysis.py (145 of 263)
PASS: compiler :: test_agolic_planning.py (146 of 263)
PASS: compiler :: test_offline_policy.py (147 of 263)
PASS: compiler :: test_agentic_concolic_hooks.py (148 of 263)
PASS: compiler :: backsolver_switch_ifss.ll (149 of 263)
PASS: compiler :: ucsan_partial_shadow.c (150 of 263)
PASS: compiler :: ucsan_invalid_entry.c (151 of 263)
PASS: compiler :: empirical_value_profile_feedback.c (152 of 263)
PASS: compiler :: query_generator_tactic_converter.py (153 of 263)
PASS: compiler :: regression/cxa_vector.ll (154 of 263)
PASS: compiler :: live_continuation_index_width.ll (155 of 263)
PASS: compiler :: poly_projected_reuse.c (156 of 263)
PASS: compiler :: schedule_module_filter.c (157 of 263)
PASS: compiler :: self_config_native_provider.py (158 of 263)
PASS: compiler :: test_self_config.py (159 of 263)
PASS: compiler :: hydra_manifest_concurrent.ll (160 of 263)
PASS: compiler :: empirical_value_profile_switch.c (161 of 263)
PASS: compiler :: test_parasuit_value_policy.py (162 of 263)
PASS: compiler :: live_continuation_exception_signature.ll (163 of 263)
PASS: compiler :: backsolver_switch_balanced.ll (164 of 263)
PASS: compiler :: poly_field_renaming.c (165 of 263)
PASS: compiler :: test_live_byte_lane_writer_graph.py (166 of 263)
PASS: compiler :: data_coverage_libc.c (167 of 263)
PASS: compiler :: test_live_cyclic_byte_lane_writer_graph.py (168 of 263)
PASS: compiler :: test_live_shared_phi_edge_discriminator.py (169 of 263)
PASS: compiler :: query_generator.py (170 of 263)
PASS: compiler :: test_online_value_profile.py (171 of 263)
PASS: compiler :: query_prefix_reuse.py (172 of 263)
PASS: compiler :: backsolver_switch_shared.ll (173 of 263)
PASS: compiler :: test_qa3_repro.py (174 of 263)
PASS: compiler :: string_solver.py (175 of 263)
PASS: compiler :: empirical_value_profile.c (176 of 263)
PASS: compiler :: string_backend_conformance.py (177 of 263)
PASS: compiler :: test_tree_sitter_incremental_parser.py (178 of 263)
PASS: compiler :: ucsan_explicit_unwind.cpp (179 of 263)
PASS: compiler :: backsolver_switch_profile.ll (180 of 263)
PASS: compiler :: test_cross_parser_oracle.py (181 of 263)
PASS: compiler :: test_afl_data_coverage.py (182 of 263)
PASS: compiler :: test_persistent_live_state_frontier.py (183 of 263)
PASS: compiler :: ucsan_snapshot.c (184 of 263)
PASS: compiler :: ucsan_explicit_cpp.cpp (185 of 263)
PASS: compiler :: poly_exact_widening_renaming.c (186 of 263)
PASS: compiler :: query_ir.c (187 of 263)
PASS: compiler :: test_verified_proposals.py (188 of 263)
PASS: compiler :: test_tace_profile.py (189 of 263)
PASS: compiler :: unsat_core_long_prefix.c (190 of 263)
PASS: compiler :: query_generator_optimistic.py (191 of 263)
PASS: compiler :: string_operations.c (192 of 263)
PASS: compiler :: query_solver_pscache.py (193 of 263)
PASS: compiler :: test_hybrid_feedback.py (194 of 263)
PASS: compiler :: test_afl_profile_orchestration.py (195 of 263)
PASS: compiler :: test_parser_equivalence_audit.py (196 of 263)
PASS: compiler :: test_parglare_sppf_parser.py (197 of 263)
PASS: compiler :: test_research_evidence.py (198 of 263)
PASS: compiler :: test_live_exception_semantics.py (199 of 263)
PASS: compiler :: test_live_scalar_catch_object.py (200 of 263)
PASS: compiler :: backsolver_loop_summary.ll (201 of 263)
PASS: compiler :: backsolver_loop_triangular.ll (202 of 263)
PASS: compiler :: test_live_typed_exception_semantics.py (203 of 263)
PASS: compiler :: live_exception_object_fields_source.cpp (204 of 263)
PASS: compiler :: query_solver_selective.py (205 of 263)
PASS: compiler :: ucsan_explicit_objects.c (206 of 263)
PASS: compiler :: test_condpor_interpreter.py (207 of 263)
PASS: compiler :: test_mpi_lifecycle.py (208 of 263)
PASS: compiler :: test_transform_artifact_bundle.py (209 of 263)
PASS: compiler :: test_live_external_models.py (210 of 263)
PASS: compiler :: test_constraint_shape.py (211 of 263)
PASS: compiler :: test_python_test_gate.py (212 of 263)
PASS: compiler :: backsolver_loop_break.ll (213 of 263)
PASS: compiler :: test_schedule_exploration.py (214 of 263)
PASS: compiler :: test_current_evaluation_analysis.py (215 of 263)
PASS: compiler :: test_persistent_live_continuation.py (216 of 263)
PASS: compiler :: test_live_exception_lifecycle.py (217 of 263)
PASS: compiler :: live_continuation_ssa_copy.ll (218 of 263)
PASS: compiler :: test_live_cgs.py (219 of 263)
PASS: compiler :: ucsan_uninitialized.c (220 of 263)
PASS: compiler :: test_live_cbc.py (221 of 263)
PASS: compiler :: test_mpi_filesystem_qualification.py (222 of 263)
PASS: compiler :: backsolver_continuation_ordered_symbolic_region_cycle.ll (223 of 263)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_multi_latch.ll (224 of 263)
PASS: compiler :: test_live_exception_object_arena.py (225 of 263)
PASS: compiler :: test_qf_bv_backend.py (226 of 263)
PASS: compiler :: backsolver_continuation_ordered_writer_graph.ll (227 of 263)
PASS: compiler :: hydra_internal_tree_memory.ll (228 of 263)
PASS: compiler :: hydra_internal_dag_memory.ll (229 of 263)
PASS: compiler :: hydra_unequal_max.ll (230 of 263)
PASS: compiler :: backsolver_loop_three_break_triangular.ll (231 of 263)
PASS: compiler :: hydra_internal_dag.ll (232 of 263)
PASS: compiler :: hydra_cross_region_hash_cons.ll (233 of 263)
PASS: compiler :: backsolver_continuation_initial_memory.ll (234 of 263)
PASS: compiler :: backsolver_continuation_byte_lane.ll (235 of 263)
PASS: compiler :: hydra_shared_predicate_dag.ll (236 of 263)
PASS: compiler :: backsolver_continuation_memory.ll (237 of 263)
PASS: compiler :: hydra_internal_tree.ll (238 of 263)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_cycle.ll (239 of 263)
PASS: compiler :: test_qf_bv_conformance.py (240 of 263)
PASS: compiler :: test_semantic_proposals.py (241 of 263)
PASS: compiler :: test_query_store.py (242 of 263)
PASS: compiler :: test_research_protocol.py (243 of 263)
PASS: compiler :: backsolver_loop_multibreak.ll (244 of 263)
PASS: compiler :: backsolver_continuation_symbolic_heap_region.ll (245 of 263)
PASS: compiler :: hydra_multiblock.ll (246 of 263)
PASS: compiler :: backsolver_continuation_guarded_byte_lane.ll (247 of 263)
PASS: compiler :: backsolver_continuation_nested_memory.ll (248 of 263)
PASS: compiler :: backsolver_continuation_guarded_priority.ll (249 of 263)
PASS: compiler :: backsolver_continuation_pointer_union.ll (250 of 263)
PASS: compiler :: backsolver_continuation_cyclic_byte_lane.ll (251 of 263)
PASS: compiler :: backsolver_continuation_multi_latch_cyclic_byte_lane.ll (252 of 263)
PASS: compiler :: backsolver_continuation_pointer_union_priority.ll (253 of 263)
PASS: compiler :: backsolver_continuation_conditional_cyclic_byte_lane.ll (254 of 263)
PASS: compiler :: backsolver_continuation_conditional_multi_latch_cyclic_byte_lane.ll (255 of 263)
PASS: compiler :: test_qf_bv_campaign.py (256 of 263)
PASS: compiler :: test_distributed_state.py (257 of 263)
PASS: compiler :: test_qf_bv_coverage_join.py (258 of 263)
PASS: compiler :: live_continuation_source.c (259 of 263)
PASS: compiler :: test_qf_bv_strategy_campaign.py (260 of 263)
PASS: compiler :: backsolver_continuation_bounded_multi_latch_cyclic_byte_lane.ll (261 of 263)
PASS: compiler :: backsolver_continuation_nested_predicate_cyclic_byte_lane.ll (262 of 263)
PASS: compiler :: live_continuation_lowering.ll (263 of 263)

Testing Time: 213.15s

Total Discovered Tests: 263
  Unsupported:   2 (0.76%)
  Passed     : 261 (99.24%)
